,odds_ratio,ci_low,ci_high,significant
cat__InternetService_Fiber optic,2.079,1.266,3.075,True
num__TotalCharges,1.99,1.548,2.598,True
cat__PaperlessBilling_Yes,1.406,1.238,1.641,True
cat__PaymentMethod_Electronic check,1.352,1.124,1.622,True
cat__MultipleLines_Yes,1.274,1.11,1.481,True
cat__StreamingMovies_Yes,1.216,1.022,1.438,True
cat__StreamingTV_Yes,1.203,0.968,1.414,False
num__SeniorCitizen,1.083,1.018,1.149,True
num__MonthlyCharges,1.014,0.745,1.525,False
cat__Partner_Yes,0.997,0.853,1.148,False
cat__gender_Male,0.975,0.879,1.109,False
cat__DeviceProtection_Yes,0.945,0.817,1.084,False
cat__PaymentMethod_Mailed check,0.941,0.73,1.1,False
cat__PaymentMethod_Credit card (automatic),0.911,0.743,1.051,False
cat__OnlineBackup_No internet service,0.895,0.848,0.945,True
cat__StreamingMovies_No internet service,0.895,0.848,0.945,True
cat__TechSupport_No internet service,0.895,0.848,0.945,True
cat__StreamingTV_No internet service,0.895,0.848,0.945,True
cat__InternetService_No,0.895,0.848,0.945,True
cat__OnlineSecurity_No internet service,0.895,0.848,0.945,True
cat__DeviceProtection_No internet service,0.895,0.848,0.945,True
cat__MultipleLines_No phone service,0.883,0.7,1.179,False
cat__Dependents_Yes,0.857,0.754,1.044,False
cat__OnlineBackup_Yes,0.838,0.735,0.965,True
cat__TechSupport_Yes,0.68,0.581,0.801,True
cat__OnlineSecurity_Yes,0.664,0.535,0.809,True
cat__Contract_One year,0.518,0.428,0.61,True
cat__PhoneService_Yes,0.472,0.423,0.538,True
cat__Contract_Two year,0.261,0.17,0.363,True
num__tenure,0.24,0.18,0.322,True
